customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count,tenure_days,churn_risk
0300-XSMEW,2023-05-13,Refferal,2027-05-12,Standard,Annual,,,6.99,993,69,0,nikhil,India,Karnataka,Male,1999-11-16,2026-11-27,0,100.0,1.0,1205.0,med
0301-YEFZC,2023-12-23,Refferal,2025-12-22,Standard,Annual,,,19.99,1810,5,0,sophia,India,Tamil Nadu,Female,1995-09-16,2025-08-22,0,10.0,1.0,981.0,low
0302-TYEMD,2021-12-30,Paid,2025-12-29,Basic,Annual,,,13.99,1576,92,0,kavya,India,Gujarat,Female,1997-08-04,,0,,,1704.0,high
0303-UZHGM,2022-04-04,Refferal,2023-04-04,Premium,Annual,,,12.99,990,53,0,nikhil,India,Karnataka,Male,1987-10-03,,0,,,1609.0,med
0304-YJVAN,2020-03-03,Refferal,2023-03-03,Standard,Monthly,,,13.99,1310,1,0,neha,Australia,NSW,Female,1982-07-18,2022-07-11,0,40.0,1.0,2371.0,low
0305-HREFK,2021-03-22,Refferal,2024-03-21,Basic,Monthly,,,9.99,200,28,0,nikhil,Germany,Berlin,Male,1970-10-19,2023-12-24,0,80.0,1.0,1987.0,low
0306-CVSHX,2024-08-18,Refferal,2027-08-18,Basic,Monthly,,,19.99,705,52,0,arjun,Australia,NSW,Male,1995-08-31,2027-05-19,1,10.0,1.0,742.0,med
0307-UMLHI,2024-03-20,Organic,2026-03-20,Premium,Annual,2026-04-23,Too expensive,19.99,2613,97,1,sneha,USA,California,Female,1996-07-30,2025-07-05,1,40.0,1.0,764.0,high
0308-QBSQA,2021-11-06,Refferal,2025-11-05,Premium,Monthly,2025-12-12,Too expensive,9.99,899,74,1,rahul,Australia,NSW,Male,1996-04-01,,0,,,1497.0,high
0309-GYKLG,2023-11-03,Paid,2027-11-02,Basic,Annual,,,6.99,1438,45,0,kavya,Australia,NSW,Female,1996-09-05,2027-01-07,1,100.0,1.0,1031.0,low
0310-UVPRN,2020-03-15,Organic,2024-03-14,Premium,Monthly,,,13.99,2319,64,0,priya,Germany,Bavaria,Female,1975-05-21,2023-11-29,0,60.0,1.0,2359.0,med
0311-XARUU,2022-04-04,Organic,2023-04-04,Premium,Annual,2023-05-31,Switched to competitor,12.99,2273,74,1,rohan,USA,California,Male,1981-11-16,2022-12-17,0,40.0,1.0,422.0,high
0312-QUGGG,2023-11-23,Paid,2027-11-22,Basic,Monthly,,,12.99,936,89,0,arjun,Germany,Berlin,Male,2002-10-10,2027-06-11,1,40.0,1.0,1011.0,high
0313-MHBCD,2024-11-15,Paid,2028-11-14,Standard,Annual,,,12.99,1587,45,0,emily,Germany,Berlin,Female,1983-05-04,,0,,,653.0,low
0314-XLCJB,2022-11-25,Organic,2026-11-24,Basic,Monthly,,,6.99,2764,61,0,priya,India,Karnataka,Female,1979-01-05,,0,,,1374.0,med
0315-UVBMW,2024-02-14,Organic,2026-02-13,Standard,Annual,,,9.99,2221,81,0,kavya,India,Karnataka,Female,1984-11-08,2025-08-30,0,10.0,1.0,928.0,high
0316-BLDID,2020-05-21,Organic,2022-05-21,Basic,Annual,,,12.99,874,65,0,emily,Canada,Ontario,Female,1973-07-06,2022-04-01,1,40.0,1.0,2292.0,med
0317-OZIDH,2021-10-28,Paid,2023-10-28,Premium,Monthly,,,13.99,992,87,0,pooja,Germany,Bavaria,Female,1999-07-28,,0,,,1767.0,high
0318-WWPRJ,2022-04-12,Refferal,2025-04-11,Premium,Annual,,,19.99,2969,85,0,ananya,India,Gujarat,Female,1989-06-25,2024-10-31,1,80.0,1.0,1601.0,high
0319-OQALC,2024-08-12,Paid,2025-08-12,Standard,Annual,,,9.99,1516,44,0,meera,Australia,NSW,Female,1988-02-05,2024-11-16,1,10.0,1.0,748.0,low
0320-UHAWZ,2024-06-15,Refferal,2027-06-15,Standard,Annual,,,13.99,795,42,0,divya,USA,Florida,Female,1988-08-02,2026-09-02,1,20.0,1.0,806.0,low
0321-BLXLS,2021-10-31,Refferal,2025-10-30,Standard,Monthly,2025-11-15,Switched to competitor,9.99,1291,77,1,kavya,USA,Texas,Female,1995-01-28,2025-05-20,0,100.0,1.0,1476.0,high
0322-FHGRA,2023-04-01,Refferal,2027-03-31,Basic,Monthly,2027-05-18,Switched to competitor,6.99,433,86,1,arjun,Germany,Bavaria,Male,1972-01-27,,0,,,1508.0,high
0323-IVUJT,2020-03-01,Paid,2023-03-01,Standard,Monthly,,,6.99,1064,37,0,daniel,Canada,Quebec,Male,1988-02-20,2022-09-05,1,80.0,1.0,2373.0,low
0324-OXUVI,2023-04-10,Paid,2027-04-09,Basic,Monthly,,,12.99,1608,19,0,rohan,Germany,Berlin,Male,1994-03-04,,0,,,1238.0,low
0325-TONMH,2023-09-18,Organic,2026-09-17,Standard,Monthly,,,12.99,2551,67,0,pooja,USA,Texas,Female,2000-12-16,,0,,,1077.0,med
0326-CIXAU,2024-07-27,Organic,2027-07-27,Basic,Annual,,,19.99,198,79,0,sneha,Canada,Ontario,Female,1998-12-21,,0,,,764.0,high
0327-GSONF,2023-10-09,Refferal,2026-10-08,Standard,Annual,,,6.99,385,6,0,pooja,Australia,Victoria,Female,1988-04-20,2026-01-25,0,10.0,1.0,1056.0,low
0328-DFTRJ,2023-09-07,Paid,2027-09-06,Basic,Monthly,2027-11-03,Switched to competitor,6.99,2506,96,1,james,USA,California,Male,1979-09-08,2027-07-15,1,80.0,1.0,1518.0,high
0329-CSNCZ,2020-03-08,Paid,2022-03-08,Standard,Monthly,,,19.99,2927,22,0,keshav,Canada,Ontario,Male,1982-03-04,,0,,,2366.0,low
0330-GPLYD,2020-05-05,Paid,2021-05-05,Basic,Monthly,,,13.99,2411,55,0,priya,USA,Texas,Female,1990-09-28,2021-01-17,0,100.0,1.0,2308.0,med
0331-WAHYI,2020-09-20,Refferal,2021-09-20,Premium,Annual,,,13.99,1487,33,0,emily,India,Karnataka,Female,1972-01-11,,0,,,2170.0,low
0332-UXCYK,2024-05-28,Organic,2026-05-28,Premium,Monthly,,,6.99,1381,53,0,james,Canada,Ontario,Male,1972-07-29,2026-02-27,1,100.0,1.0,824.0,med
0333-OHUOI,2020-03-20,Refferal,2021-03-20,Premium,Monthly,,,9.99,1516,77,0,nikhil,India,Delhi,Male,1993-09-15,2020-07-16,0,60.0,1.0,2354.0,high
0334-ATXES,2022-11-29,Organic,2024-11-28,Basic,Annual,,,12.99,2929,40,0,sophia,USA,Texas,Female,1994-09-12,,0,,,1370.0,low
0335-QKACU,2022-05-07,Organic,2025-05-06,Premium,Annual,,,6.99,2014,39,0,james,India,Gujarat,Male,1985-12-10,2024-09-29,1,20.0,1.0,1576.0,low
0336-DZIQA,2021-01-09,Paid,2022-01-09,Basic,Annual,,,6.99,1415,8,0,neha,USA,California,Female,1982-10-16,,0,,,2059.0,low
0337-GXNAD,2022-02-23,Organic,2023-02-23,Premium,Monthly,,,9.99,206,8,0,arjun,Germany,Bavaria,Male,2000-04-20,2022-06-14,0,40.0,1.0,1649.0,low
0338-CDZAC,2024-01-21,Organic,2026-01-20,Basic,Annual,,,19.99,1406,64,0,neha,India,Tamil Nadu,Female,1995-12-12,,0,,,952.0,med
0339-WAPAT,2021-10-12,Organic,2023-10-12,Standard,Monthly,,,6.99,1784,65,0,nikhil,Germany,Bavaria,Male,1989-02-23,2022-12-27,0,100.0,1.0,1783.0,med
0340-YPVVI,2021-09-11,Refferal,2023-09-11,Basic,Annual,,,12.99,341,36,0,meera,Germany,Bavaria,Female,1971-09-25,2023-08-07,1,80.0,1.0,1814.0,low
0341-WZGYT,2020-07-27,Refferal,2022-07-27,Basic,Monthly,,,13.99,2296,70,0,priya,Canada,Ontario,Female,1992-05-23,2022-03-24,0,40.0,1.0,2225.0,high
0342-DBVMA,2023-03-09,Organic,2027-03-08,Premium,Annual,,,13.99,1885,25,0,sneha,Germany,Bavaria,Female,1982-11-15,2027-01-02,0,40.0,1.0,1270.0,low
0343-HIHIR,2020-09-29,Organic,2024-09-28,Basic,Annual,,,12.99,1826,29,0,priya,Australia,Victoria,Female,1981-07-22,2024-06-13,1,10.0,1.0,2161.0,low
0344-KRZWE,2022-02-27,Paid,2023-02-27,Premium,Monthly,,,19.99,580,29,0,rohan,Germany,Berlin,Male,2000-11-04,2022-08-03,1,80.0,1.0,1645.0,low
0345-TVKPW,2020-11-25,Paid,2023-11-25,Premium,Annual,,,13.99,1062,67,0,keshav,Germany,Berlin,Male,1999-06-07,,0,,,2104.0,med
0346-JRXSS,2024-10-10,Refferal,2027-10-10,Basic,Annual,,,12.99,470,18,0,arjun,India,Delhi,Male,1990-11-10,,0,,,689.0,low
0347-FBANP,2023-02-25,Paid,2027-02-24,Standard,Annual,,,9.99,1462,32,0,sophia,USA,Florida,Female,1974-10-07,2026-05-15,0,60.0,1.0,1282.0,low
0348-OETTY,2022-07-30,Refferal,2026-07-29,Standard,Annual,2026-08-22,Moved away,13.99,1268,75,1,aarav,India,Maharashtra,Male,1991-11-09,2026-01-11,0,100.0,1.0,1484.0,high
0349-LYQWY,2024-07-07,Refferal,2027-07-07,Standard,Annual,,,9.99,2279,26,0,nikhil,Australia,NSW,Male,1974-01-15,,0,,,784.0,low
0350-MCAEO,2022-06-30,Refferal,2025-06-29,Standard,Monthly,,,9.99,1509,47,0,pooja,Australia,Victoria,Female,1983-06-16,2025-05-02,0,10.0,1.0,1522.0,low
0351-MWKHJ,2021-09-24,Refferal,2024-09-23,Premium,Annual,,,6.99,1023,3,0,rahul,Australia,Victoria,Male,1978-08-05,2024-04-04,1,20.0,1.0,1801.0,low
0352-RSIQM,2021-04-28,Refferal,2023-04-28,Standard,Monthly,,,19.99,1149,93,0,keshav,USA,California,Male,1994-09-19,,0,,,1950.0,high
0353-QNOON,2021-09-28,Paid,2025-09-27,Premium,Monthly,,,12.99,1889,15,0,ananya,India,Gujarat,Female,1984-11-07,,0,,,1797.0,low
0354-UOJHT,2021-06-12,Paid,2024-06-11,Premium,Annual,,,6.99,2349,6,0,sophia,Australia,NSW,Female,1984-12-05,2024-02-06,0,60.0,1.0,1905.0,low
0355-ILGEU,2024-03-27,Refferal,2026-03-27,Basic,Annual,,,6.99,1918,37,0,neha,USA,Florida,Female,1989-03-16,,0,,,886.0,low
0356-WWOGW,2024-03-01,Refferal,2025-03-01,Premium,Annual,2025-03-23,Switched to competitor,19.99,1628,98,1,sneha,Canada,Quebec,Female,1988-09-04,,0,,,387.0,high
0357-NDHPV,2021-12-13,Organic,2025-12-12,Basic,Annual,,,9.99,990,61,0,kavya,Australia,Victoria,Female,1994-10-11,2025-09-23,1,60.0,1.0,1721.0,med
0358-PAGQY,2020-11-18,Paid,2023-11-18,Premium,Monthly,,,12.99,2137,61,0,rahul,USA,Florida,Male,1983-09-28,,0,,,2111.0,med
0359-OSXPF,2021-09-27,Organic,2025-09-26,Basic,Annual,,,19.99,653,28,0,ananya,Canada,Ontario,Female,1980-11-06,2025-02-27,0,20.0,1.0,1798.0,low
0360-SBAHN,2021-02-09,Organic,2025-02-08,Premium,Annual,2025-02-19,Moved away,13.99,2029,85,1,arjun,Canada,Quebec,Male,2000-11-26,2024-06-15,1,10.0,1.0,1471.0,high
0361-PKQWM,2021-08-19,Paid,2025-08-18,Standard,Monthly,,,13.99,409,60,0,priya,USA,Texas,Female,1989-04-07,2024-11-25,0,20.0,1.0,1837.0,med
0362-GMKOD,2021-04-15,Paid,2023-04-15,Premium,Annual,2023-06-01,Too expensive,9.99,350,75,1,kavya,Germany,Berlin,Female,1998-11-06,2022-09-27,1,20.0,1.0,777.0,high
0363-QDLKB,2024-02-06,Refferal,2025-02-05,Premium,Monthly,,,9.99,2849,98,0,manish,USA,Texas,Male,1993-12-09,2024-06-21,0,100.0,1.0,936.0,high
0364-WHGIZ,2022-08-08,Organic,2026-08-07,Standard,Annual,2026-08-21,Too expensive,13.99,2032,90,1,manish,Australia,NSW,Male,1982-04-22,2025-12-11,1,10.0,1.0,1474.0,high
0365-GJWTS,2024-05-27,Paid,2025-05-27,Standard,Monthly,2025-07-25,Moved away,9.99,358,74,1,meera,India,Gujarat,Female,1996-01-27,,0,,,424.0,high
0366-MYJRP,2022-07-24,Paid,2025-07-23,Basic,Annual,,,13.99,258,6,0,keshav,Canada,Ontario,Male,1977-12-22,,0,,,1498.0,low
0367-WKQVD,2020-01-30,Refferal,2024-01-29,Premium,Annual,,,9.99,2799,49,0,emily,Germany,Berlin,Female,1991-03-11,2023-10-08,0,60.0,1.0,2404.0,low
0368-TGVFY,2023-06-28,Refferal,2025-06-27,Premium,Annual,,,13.99,1903,28,0,neha,Germany,Bavaria,Female,1991-12-23,,0,,,1159.0,low
0369-UKBAY,2024-08-13,Organic,2028-08-12,Standard,Monthly,,,19.99,1009,67,0,neha,USA,California,Female,1998-05-25,2028-07-09,1,80.0,1.0,747.0,med
0370-PCWRI,2024-10-25,Organic,2028-10-24,Standard,Monthly,,,19.99,1754,44,0,aarav,Germany,Berlin,Male,1978-05-09,,0,,,674.0,low
0371-YUESR,2024-05-13,Paid,2028-05-12,Standard,Annual,,,9.99,1292,62,0,nikhil,India,Delhi,Male,1972-08-01,,0,,,839.0,med
0372-STNLT,2021-08-08,Organic,2025-08-07,Standard,Monthly,2025-10-05,Too expensive,13.99,199,81,1,divya,Australia,NSW,Female,1990-05-05,,0,,,1519.0,high
0373-JOGNC,2024-08-03,Refferal,2028-08-02,Premium,Monthly,,,19.99,836,81,0,divya,Germany,Bavaria,Female,1973-03-17,,0,,,757.0,high
0374-GPDYD,2020-12-11,Organic,2024-12-10,Standard,Monthly,,,13.99,1123,59,0,rohan,Germany,Berlin,Male,1989-06-26,,0,,,2088.0,med
0375-TKDIA,2021-03-02,Organic,2025-03-01,Standard,Annual,,,13.99,1302,66,0,kavya,Australia,NSW,Female,1993-07-16,2024-12-28,0,20.0,1.0,2007.0,med
0376-OIBKC,2021-01-03,Refferal,2023-01-03,Basic,Annual,,,6.99,1582,6,0,rahul,Canada,Ontario,Male,1994-02-02,,0,,,2065.0,low
0377-ASFHF,2020-05-20,Organic,2023-05-20,Premium,Monthly,,,12.99,2139,62,0,divya,India,Karnataka,Female,1982-02-12,2023-04-08,0,80.0,1.0,2293.0,med
0378-OXHVI,2020-03-12,Refferal,2024-03-11,Premium,Annual,2024-04-10,Switched to competitor,13.99,841,94,1,kavya,Germany,Bavaria,Female,1974-08-31,2023-12-05,0,10.0,1.0,1490.0,high
0379-TQHVB,2021-03-21,Paid,2024-03-20,Premium,Annual,,,19.99,941,20,0,arjun,Canada,Quebec,Male,2002-09-23,2023-10-14,0,20.0,1.0,1988.0,low
0380-FKFYV,2021-09-16,Paid,2023-09-16,Premium,Annual,2023-11-05,Switched to competitor,19.99,2017,84,1,divya,Germany,Bavaria,Female,1983-04-07,,0,,,780.0,high
0381-PPSJL,2020-04-07,Organic,2023-04-07,Premium,Monthly,2023-05-03,Too expensive,9.99,1210,90,1,vikram,Germany,Bavaria,Male,1987-05-29,2023-02-24,1,100.0,1.0,1121.0,high
0382-KNNWY,2023-04-28,Paid,2024-04-27,Basic,Monthly,2024-06-26,Too expensive,12.99,2238,91,1,sophia,India,Karnataka,Female,2002-04-30,2023-10-27,0,40.0,1.0,425.0,high
0383-SBUKS,2021-12-23,Organic,2025-12-22,Standard,Monthly,,,12.99,1538,65,0,sneha,India,Gujarat,Female,1982-05-29,2025-07-30,0,10.0,1.0,1711.0,med
0384-WVLDY,2022-03-22,Refferal,2026-03-21,Standard,Annual,,,13.99,2868,24,0,rahul,Canada,Quebec,Male,1996-05-15,,0,,,1622.0,low
0385-PQMRI,2022-11-18,Refferal,2023-11-18,Basic,Monthly,,,9.99,1434,4,0,ananya,USA,Texas,Female,1999-02-06,2023-09-07,0,10.0,1.0,1381.0,low
0386-XMJKD,2023-10-20,Refferal,2027-10-19,Premium,Annual,,,6.99,1811,34,0,ananya,Germany,Berlin,Female,1986-01-30,,0,,,1045.0,low
0387-RSHKX,2022-01-03,Organic,2025-01-02,Premium,Annual,,,6.99,1889,41,0,ananya,Canada,Ontario,Female,1974-05-26,2024-08-15,1,60.0,1.0,1700.0,low
0388-SIAQU,2023-05-29,Paid,2026-05-28,Basic,Annual,,,13.99,195,10,0,meera,Canada,Ontario,Female,1997-10-06,2025-09-24,0,10.0,1.0,1189.0,low
0389-CIAPX,2024-05-15,Paid,2027-05-15,Premium,Annual,,,9.99,2986,8,0,meera,India,Maharashtra,Female,1997-10-11,2027-03-13,0,80.0,1.0,837.0,low
0390-SHCMK,2020-01-17,Paid,2024-01-16,Basic,Annual,,,13.99,1505,17,0,divya,Germany,Berlin,Female,2002-10-28,2023-05-25,0,80.0,1.0,2417.0,low
0391-IFBWZ,2021-03-26,Refferal,2025-03-25,Standard,Annual,,,19.99,1014,11,0,rohan,Germany,Berlin,Male,1981-04-04,,0,,,1983.0,low
0392-VKAOG,2024-02-21,Refferal,2028-02-20,Premium,Monthly,2028-03-14,Moved away,12.99,1182,96,1,rahul,India,Karnataka,Male,1985-11-14,2027-09-27,1,100.0,1.0,1483.0,high
0393-MDRZZ,2020-12-12,Organic,2023-12-12,Premium,Annual,,,9.99,165,85,0,meera,India,Karnataka,Female,1984-09-19,2023-03-10,0,20.0,1.0,2087.0,high
0394-UWHOI,2022-09-12,Organic,2025-09-11,Premium,Annual,,,9.99,821,22,0,vikram,USA,California,Male,1978-05-15,2025-07-27,0,40.0,1.0,1448.0,low
0395-SFAOV,2021-07-21,Organic,2025-07-20,Basic,Annual,,,9.99,2594,21,0,daniel,Germany,Bavaria,Male,1998-11-17,2025-03-16,0,60.0,1.0,1866.0,low
0396-WGIEE,2020-01-30,Refferal,2023-01-29,Standard,Annual,,,6.99,1166,62,0,nikhil,Germany,Berlin,Male,1982-01-18,2022-10-10,1,80.0,1.0,2404.0,med
0397-IHMCN,2023-05-04,Organic,2026-05-03,Standard,Annual,,,6.99,2492,86,0,arjun,Australia,Victoria,Male,1970-07-14,2026-02-13,0,40.0,1.0,1214.0,high
0398-BIJVF,2021-11-14,Paid,2025-11-13,Basic,Annual,,,13.99,1065,40,0,kavya,Canada,Ontario,Female,1982-10-12,,0,,,1750.0,low
0399-RQVEG,2024-07-29,Organic,2026-07-29,Premium,Annual,,,13.99,279,60,0,ananya,Canada,Quebec,Female,1979-03-30,2026-05-07,1,80.0,1.0,762.0,med
0400-JLPHQ,2021-09-06,Organic,2025-09-05,Standard,Annual,,,6.99,1216,13,0,sneha,Australia,Victoria,Female,1971-12-31,2025-01-25,1,80.0,1.0,1819.0,low
0401-KQJMN,2023-02-03,Organic,2025-02-02,Standard,Annual,,,13.99,1431,91,0,sophia,Australia,NSW,Female,1987-03-08,,0,,,1304.0,high
0402-JLQVA,2024-05-14,Organic,2025-05-14,Premium,Monthly,2025-07-02,Moved away,9.99,1126,95,1,pooja,Australia,NSW,Female,1983-03-02,2025-01-04,1,100.0,1.0,414.0,high
0403-CRUPU,2024-10-10,Refferal,2027-10-10,Premium,Annual,,,12.99,380,3,0,kavya,Germany,Bavaria,Female,1974-09-03,2027-02-15,0,20.0,1.0,689.0,low
0404-GUZJG,2020-03-27,Paid,2021-03-27,Premium,Monthly,,,19.99,1699,40,0,pooja,USA,Texas,Female,1974-05-27,2020-09-30,0,80.0,1.0,2347.0,low
0405-DFYHE,2024-10-11,Paid,2028-10-10,Premium,Annual,,,12.99,2344,8,0,kavya,Germany,Berlin,Female,1979-02-15,,0,,,688.0,low
0406-AJJJF,2022-03-21,Refferal,2023-03-21,Standard,Monthly,,,9.99,1225,30,0,pooja,India,Delhi,Female,1984-05-27,2022-12-27,1,20.0,1.0,1623.0,low
0407-FXHJM,2020-10-09,Refferal,2024-10-08,Basic,Annual,,,19.99,1427,38,0,rahul,Germany,Bavaria,Male,1993-10-25,2024-08-08,0,60.0,1.0,2151.0,low
0408-WGPTV,2023-02-03,Refferal,2026-02-02,Premium,Monthly,,,6.99,2486,62,0,pooja,Germany,Berlin,Female,1994-02-28,,0,,,1304.0,med
0409-RNBUA,2020-10-14,Refferal,2024-10-13,Basic,Annual,,,6.99,1413,69,0,pooja,Australia,Victoria,Female,1987-01-14,2024-08-29,0,40.0,1.0,2146.0,med
0410-NDQII,2021-03-19,Refferal,2024-03-18,Standard,Monthly,,,13.99,464,22,0,sneha,Canada,Ontario,Female,1983-03-13,2023-06-15,1,40.0,1.0,1990.0,low
0411-GBLUG,2023-02-03,Paid,2024-02-03,Basic,Monthly,,,6.99,1935,51,0,james,Canada,Ontario,Male,1983-04-18,,0,,,1304.0,med
0412-AWJMP,2023-02-18,Refferal,2027-02-17,Basic,Monthly,,,13.99,1242,54,0,sophia,India,Tamil Nadu,Female,1998-03-04,2026-10-29,0,100.0,1.0,1289.0,med
0413-ILSFC,2023-02-21,Paid,2027-02-20,Basic,Monthly,,,12.99,942,2,0,priya,India,Karnataka,Female,1998-03-06,,0,,,1286.0,low
0414-XMYZD,2023-06-15,Refferal,2025-06-14,Premium,Monthly,,,9.99,1718,6,0,emily,Australia,Victoria,Female,1984-12-22,,0,,,1172.0,low
0415-TAFDF,2024-04-19,Organic,2027-04-19,Basic,Monthly,,,13.99,1602,51,0,emily,Germany,Bavaria,Female,1971-06-07,,0,,,863.0,med
0416-UNYWM,2021-02-05,Organic,2024-02-05,Basic,Annual,,,9.99,2536,48,0,manish,Canada,Quebec,Male,1982-11-01,2023-07-31,0,80.0,1.0,2032.0,low
0417-ZXSXK,2022-02-28,Refferal,2024-02-28,Standard,Monthly,,,9.99,2992,87,0,aarav,India,Gujarat,Male,1999-07-17,,0,,,1644.0,high
0418-TQVXT,2023-09-29,Refferal,2027-09-28,Standard,Annual,,,6.99,1012,4,0,rohan,Australia,Victoria,Male,1994-10-22,2027-03-24,1,80.0,1.0,1066.0,low
0419-SOWLS,2023-03-12,Refferal,2027-03-11,Basic,Annual,2027-04-12,Switched to competitor,12.99,480,80,1,emily,Canada,Ontario,Female,1974-09-08,2027-01-18,0,80.0,1.0,1492.0,high
0420-QHGBO,2024-11-21,Organic,2027-11-21,Standard,Annual,,,9.99,1490,100,0,priya,Canada,Quebec,Female,1978-08-20,,0,,,647.0,high
0421-LBNPD,2023-04-30,Organic,2025-04-29,Standard,Annual,2025-06-19,Switched to competitor,6.99,2700,74,1,rahul,Germany,Bavaria,Male,1978-12-26,2024-11-23,0,60.0,1.0,781.0,high
0422-JACJN,2021-08-22,Paid,2025-08-21,Premium,Monthly,,,6.99,898,28,0,sophia,Canada,Ontario,Female,1979-11-21,,0,,,1834.0,low
0423-AXTKH,2022-04-19,Refferal,2025-04-18,Basic,Monthly,2025-05-14,Moved away,19.99,1608,77,1,keshav,Canada,Quebec,Male,1983-09-22,,0,,,1121.0,high
0424-RKYET,2022-04-07,Paid,2023-04-07,Premium,Annual,,,9.99,2467,8,0,emily,Australia,NSW,Female,1992-07-29,2022-07-31,0,40.0,1.0,1606.0,low
0425-WKCRT,2022-07-04,Refferal,2026-07-03,Standard,Monthly,2026-09-01,Moved away,19.99,2613,77,1,arjun,Germany,Bavaria,Male,1994-03-07,2026-04-13,0,100.0,1.0,1520.0,high
0426-JZJQQ,2023-09-01,Paid,2025-08-31,Basic,Annual,,,9.99,296,34,0,meera,Germany,Bavaria,Female,1994-06-15,2024-12-16,0,100.0,1.0,1094.0,low
0427-UDSJW,2021-04-02,Organic,2023-04-02,Premium,Annual,,,6.99,2570,33,0,vikram,Canada,Quebec,Male,1991-09-17,2022-09-11,0,100.0,1.0,1976.0,low
0428-FGQJO,2022-06-06,Refferal,2025-06-05,Standard,Monthly,,,9.99,2040,76,0,neha,Canada,Quebec,Female,1996-10-14,,0,,,1546.0,high
0429-QOFJV,2021-11-17,Refferal,2025-11-16,Standard,Monthly,2025-12-09,Moved away,12.99,1230,85,1,pooja,Canada,Ontario,Female,1971-03-27,2025-06-20,0,10.0,1.0,1483.0,high
0430-YSSWM,2022-05-29,Paid,2025-05-28,Standard,Annual,,,6.99,1566,98,0,arjun,India,Delhi,Male,1978-04-29,,0,,,1554.0,high
0431-HVCNE,2022-03-17,Refferal,2026-03-16,Premium,Monthly,,,6.99,2845,4,0,sophia,USA,Texas,Female,1975-10-19,2025-09-30,1,40.0,1.0,1627.0,low
0432-BPZDC,2023-02-25,Refferal,2027-02-24,Basic,Monthly,,,12.99,212,91,0,divya,Canada,Ontario,Female,1986-11-11,,0,,,1282.0,high
0433-CJMXC,2020-01-09,Organic,2022-01-08,Basic,Monthly,,,12.99,2918,52,0,sophia,Canada,Quebec,Female,1998-09-16,2021-07-16,0,40.0,1.0,2425.0,med
0434-QCVBT,2020-01-09,Organic,2022-01-08,Premium,Monthly,,,6.99,2923,11,0,james,USA,Florida,Male,1977-01-24,2021-06-10,0,100.0,1.0,2425.0,low
0435-PDAAP,2022-09-23,Refferal,2025-09-22,Basic,Monthly,2025-11-01,Too expensive,12.99,2039,80,1,daniel,Australia,NSW,Male,1996-01-08,,0,,,1135.0,high
0436-TSQVX,2022-05-12,Refferal,2023-05-12,Standard,Monthly,,,12.99,2986,44,0,james,USA,Texas,Male,1976-08-20,2022-12-17,0,80.0,1.0,1571.0,low
0437-JLGGE,2020-05-09,Organic,2022-05-09,Standard,Annual,,,9.99,2329,65,0,pooja,USA,Florida,Female,1985-04-28,2021-11-11,0,80.0,1.0,2304.0,med
0438-YYQXT,2024-09-13,Refferal,2028-09-12,Basic,Annual,,,13.99,2200,87,0,rohan,India,Karnataka,Male,2000-09-03,,0,,,716.0,high
0439-PHGQB,2022-03-17,Organic,2024-03-16,Premium,Annual,,,19.99,499,33,0,nikhil,Australia,Victoria,Male,1985-10-08,2023-08-02,1,60.0,1.0,1627.0,low
0440-IWOTK,2023-03-21,Refferal,2027-03-20,Premium,Annual,,,19.99,1324,63,0,rohan,Canada,Ontario,Male,2002-06-07,,0,,,1258.0,med
0441-HHTVS,2024-02-04,Refferal,2026-02-03,Basic,Annual,,,19.99,1753,6,0,keshav,Germany,Bavaria,Male,1989-07-25,2025-09-09,0,100.0,1.0,938.0,low
0442-BBFCL,2021-07-14,Paid,2022-07-14,Basic,Annual,,,13.99,2739,26,0,aarav,USA,California,Male,1980-09-07,,0,,,1873.0,low
0443-ZMYBR,2021-01-07,Refferal,2024-01-07,Basic,Annual,,,6.99,1067,21,0,emily,Australia,Victoria,Female,1986-11-08,2023-09-05,1,20.0,1.0,2061.0,low
0444-AREJX,2020-11-04,Refferal,2021-11-04,Standard,Annual,,,13.99,201,13,0,arjun,Germany,Bavaria,Male,1978-09-18,,0,,,2125.0,low
0445-XFUNV,2024-09-18,Organic,2026-09-18,Basic,Annual,,,12.99,2727,55,0,arjun,Australia,Victoria,Male,1985-10-06,2026-01-12,0,20.0,1.0,711.0,med
0446-EBPNZ,2021-06-03,Organic,2025-06-02,Standard,Annual,,,9.99,1829,38,0,emily,Australia,NSW,Female,1971-11-17,2024-10-14,0,60.0,1.0,1914.0,low
0447-HAOEY,2022-05-12,Paid,2023-05-12,Standard,Annual,,,6.99,2247,75,0,vikram,Canada,Quebec,Male,1975-09-23,,0,,,1571.0,high
0448-DFXQP,2021-10-12,Organic,2022-10-12,Standard,Annual,,,6.99,2061,45,0,nikhil,India,Karnataka,Male,1990-10-15,,0,,,1783.0,low
0449-XVSAZ,2023-04-17,Refferal,2026-04-16,Premium,Monthly,,,9.99,1824,14,0,rohan,Germany,Berlin,Male,1985-01-02,,0,,,1231.0,low
0450-XVADZ,2023-02-16,Refferal,2026-02-15,Standard,Monthly,2026-03-04,Moved away,13.99,1846,80,1,meera,Australia,NSW,Female,1994-09-17,,0,,,1112.0,high
